param,ROI,hemi,ROIs_set,stream,nVox_boot,nBoot,KS_original,KS_effect_mean,KS_effect_CI_low,KS_effect_CI_high,KS_boot_std,p_value_KS_bootstrap,p_value_KS_CI_low,p_value_KS_CI_high,p_thresh_stream,sig_stream_corrected
X,lh.CoS_places_toon.mat,lh,toon,ventral,204,10000,0.251046317614489,0.278906862745098,0.196078431372549,0.362745098039216,0.0431454810432448,0.00714928507149285,0.00559343916674556,0.00889165070739915,0.0038,0
X,lh.IOG_faces_toon_JC.mat,lh,toon_JC,ventral,62,10000,0.163767687415902,0.218411290322581,0.112903225806452,0.354838709677419,0.0608710234289658,0.934656534346565,0.929731646637098,0.939416777729612,0.0038,0
X,lh.IPS_places_toon_JC.mat,lh,toon_JC,lateraldorsal,372,10000,0.145864460750533,0.158829301075269,0.10752688172043,0.21505376344086,0.0276308945224075,0.12993700629937,0.123418108496735,0.136596088520206,0.0042,0
X,lh.ITG_limbs_toon_JC.mat,lh,toon_JC,lateraldorsal,226,10000,0.0799287045952757,0.109570796460176,0.0619469026548673,0.172566371681416,0.0282294300593609,0.953854614538546,0.949657830675443,0.957879489854666,0.0042,0
X,lh.LOS_limbs_toon_JC.mat,lh,toon_JC,lateraldorsal,351,10000,0.122120250694213,0.141583760683761,0.0826210826210826,0.205128205128205,0.0314506958536835,0.402109789021098,0.392519335693362,0.411737325615888,0.0042,0
X,lh.MOG_places_toon_JC.mat,lh,toon_JC,lateraldorsal,500,10000,0.0434092549630716,0.0657430000000006,0.036,0.11,0.019691387103823,0.976452354764524,0.973391532361028,0.979332736192944,0.0042,0
X,lh.MTG_limbs_adultAvg_probMap_toonCat.mat,lh,adultAvg_probMap_toonCat,lateraldorsal,205,10000,0.0661983763291206,0.107020975609756,0.0585365853658537,0.175609756097561,0.0299659887272653,0.972052794720528,0.968734278999381,0.97519252704421,0.0042,0
X,lh.OTS_bodies_toon.mat,lh,toon,ventral,52,10000,0.0933771936558628,0.188505769230765,0.115384615384615,0.307692307692308,0.0530712660991462,0.988451154884512,0.986266389797674,0.990450993793727,0.0038,0
X,lh.mFus_faces_toon.mat,lh,toon,ventral,124,10000,0.106596563623472,0.153941129032258,0.0806451612903226,0.254032258064516,0.0451449898913734,0.916158384161584,0.910648607648641,0.921510519488915,0.0038,0
X,lh.mOTS_words_toon.mat,lh,toon,ventral,71,10000,0.288775751835188,0.323415492957748,0.183098591549296,0.464788732394366,0.0727510283215095,0.320917908209179,0.311803296707752,0.330100360289035,0.0038,0
