Session,Hemi,ROI,nrAdultFaces,meanAdultFaces,nrChildFaces,meanChildFaces,nrNoHeadBody,meanNoHeadBody,nrLimbs,meanLimbs,nrCars,meanCars,nrGuitars,meanGuitars,nrCorridors,meanCorridors,nrHouses,meanHouses,nrWords,meanWords,nrNumber,meanNumber,nrFaces,meanFaces,nrBodies,meanBodies,nrObjects,meanObjects,nrPlaces,meanPlaces,nrChars,meanChars
ENK05_181201_time_03_1,rh,CoS_places_toon_10mm,0,-2.184614384,0,-2.384369419,0,-0.70100466,0,0.170235479,0,-0.9925699,2,0.168489219,46,3.249786927,26,2.183402116,2,0.186843879,2,-0.363240242,0,-3.102418651,0,-0.28902281,0,-0.671797046,55,3.694231548,3,-0.114945209
CLC06_190912_time_04_1,rh,CoS_places_toon_10mm,0,-0.428286868,0,-1.061611074,0,-0.319480154,0,-0.689747614,0,0.019111005,0,-0.592878611,28,2.371393941,12,1.410372628,0,-0.52341521,0,-0.542078313,0,-1.055844114,0,-0.713586732,0,-0.334767347,31,2.57411997,0,-0.734190037
ED07_190824_time_04_2,rh,CoS_places_toon_10mm,0,-1.430904771,0,-1.271908234,0,-0.776313746,0,-0.818045902,0,0.272869901,0,-0.647942106,21,2.288012727,12,2.101859305,0,-0.006792644,0,-0.407710201,0,-1.813706505,0,-1.083351895,0,-0.170085844,28,2.976339714,0,-0.280866
ENK05_190203_time_03_2,rh,CoS_places_toon_10mm,0,-2.392114094,0,-1.946978242,0,-1.656126764,3,0.678250137,0,-0.437072066,0,-0.212651184,36,2.71465038,24,2.389503899,7,0.293050758,1,-0.426621089,0,-2.896958129,0,-0.473476057,0,-0.46497126,44,3.461992225,8,-0.083379351
RJ09_181110_time_03_2,rh,CoS_places_toon_10mm,0,-2.416009897,0,-2.096456104,0,-1.129943025,0,-0.167496675,0,-0.696426411,0,-0.413319763,36,2.50889459,40,2.71571496,0,0.39537524,1,0.37516992,0,-3.023856771,0,-0.800963117,0,-0.78480292,48,3.53690171,2,0.531359433
INW06_191006_time_04_1,rh,CoS_places_toon_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ09_190810_time_04_1,rh,CoS_places_toon_10mm,0,-0.71314151,0,-0.974897177,0,-1.142349757,0,-0.312511819,0,-0.246245236,0,-1.020852136,29,2.665840405,15,1.634898124,0,-0.176203369,0,-0.41808478,0,-1.160821251,0,-0.918327682,0,-0.793301721,32,2.926586745,0,-0.406706744
AOK07_190203_time_03_2,rh,CoS_places_toon_10mm,0,-2.042496499,0,-1.389968508,0,-1.343632381,0,-0.192685644,0,0.030774573,0,-1.199309071,39,3.01426916,39,2.779712738,1,-0.12729717,0,-0.611680252,0,-2.268299268,0,-0.947518165,0,-0.683312206,55,3.92818809,2,-0.503509889
CS11_181215_time_03_2,rh,CoS_places_toon_10mm,0,-1.6998032,0,-2.233778789,0,-1.287119465,0,-0.16226326,0,0.787127468,0,-0.722898006,45,3.674725029,20,1.980177271,0,-0.642708955,0,-0.612625435,0,-2.699116218,0,-0.890742005,0,0.185253547,43,3.852340895,0,-0.865630524
GEJA09_190921_time_04_1,rh,CoS_places_toon_10mm,1,-0.410199382,0,-0.852272332,2,-0.846981825,0,-0.549011628,0,0.02378605,0,-0.391850263,23,1.897561668,12,1.206189349,0,0.038356669,0,-0.540222437,1,-0.887320664,0,-0.921493642,0,-0.212590571,27,2.111392603,0,-0.338938342
