sub,group,age,hemi,ROI,ROItype,category,stream,meanT,catSelectivity
AOK07_190203_time_03_2,kids,13,lh,CoS_places,category,place,ventral,2.923736794,Places
AOK07_190203_time_03_2,kids,13,lh,IOG_faces,category,face,ventral,0.581065077,Faces
AOK07_190203_time_03_2,kids,13,lh,IPS_places,category,place,dorsal,3.968991427,Places
AOK07_190203_time_03_2,kids,13,lh,ITG_limbs,category,bodies,lateral,3.570531852,Bodies
AOK07_190203_time_03_2,kids,13,lh,LOS_limbs,category,bodies,lateral,3.974849372,Bodies
AOK07_190203_time_03_2,kids,13,lh,mFus_faces,category,face,ventral,1.364714993,Faces
AOK07_190203_time_03_2,kids,13,lh,MOG_places,category,place,dorsal,4.543284188,Places
AOK07_190203_time_03_2,kids,13,lh,mOTS_words,category,words,ventral,1.653286126,Words
AOK07_190203_time_03_2,kids,13,lh,MTG_limbs,category,bodies,lateral,-0.0687311,Bodies
AOK07_190203_time_03_2,kids,13,lh,OTS_bodies,category,bodies,ventral,1.473895217,Bodies
AOK07_190203_time_03_2,kids,13,lh,pFus_faces,category,face,ventral,0.729225821,Faces
AOK07_190203_time_03_2,kids,13,lh,pOTS_words,category,words,ventral,2.555436865,Words
CGSA11_190910_time_04_1,kids,17,lh,CoS_places,category,place,ventral,3.181653928,Places
CGSA11_190910_time_04_1,kids,17,lh,IOG_faces,category,face,ventral,1.479793085,Faces
CGSA11_190910_time_04_1,kids,17,lh,IPS_places,category,place,dorsal,2.562962255,Places
CGSA11_190910_time_04_1,kids,17,lh,ITG_limbs,category,bodies,lateral,1.789378354,Bodies
CGSA11_190910_time_04_1,kids,17,lh,LOS_limbs,category,bodies,lateral,4.398926248,Bodies
CGSA11_190910_time_04_1,kids,17,lh,mFus_faces,category,face,ventral,2.507522518,Faces
CGSA11_190910_time_04_1,kids,17,lh,MOG_places,category,place,dorsal,4.959885097,Places
CGSA11_190910_time_04_1,kids,17,lh,mOTS_words,category,words,ventral,1.164015141,Words
CGSA11_190910_time_04_1,kids,17,lh,MTG_limbs,category,bodies,lateral,2.1090872,Bodies
CGSA11_190910_time_04_1,kids,17,lh,OTS_bodies,category,bodies,ventral,0.94173676,Bodies
CGSA11_190910_time_04_1,kids,17,lh,pFus_faces,category,face,ventral,0.877487145,Faces
CGSA11_190910_time_04_1,kids,17,lh,pOTS_words,category,words,ventral,3.199159574,Words
CGSA11_190910_time_04_1,kids,17,lh,pSTS_faces,category,face,lateral,0.43267457,Faces
CLC06_190912_time_04_1,kids,11,lh,CoS_places,category,place,ventral,2.51861967,Places
CLC06_190912_time_04_1,kids,11,lh,IPS_places,category,place,dorsal,2.256585346,Places
CLC06_190912_time_04_1,kids,11,lh,mFus_faces,category,face,ventral,0.940794699,Faces
CLC06_190912_time_04_1,kids,11,lh,MOG_places,category,place,dorsal,1.921626759,Places
CLC06_190912_time_04_1,kids,11,lh,MTG_limbs,category,bodies,lateral,2.34485506,Bodies
CLC06_190912_time_04_1,kids,11,lh,OTS_bodies,category,bodies,ventral,1.275489262,Bodies
CLC06_190912_time_04_1,kids,11,lh,pFus_faces,category,face,ventral,0.244097662,Faces
CLC06_190912_time_04_1,kids,11,lh,pSTS_faces,category,face,lateral,-1.1910378,Faces
CR24_181106_time_03_2,adults,24,lh,CoS_places,category,place,ventral,1.603954498,Places
CR24_181106_time_03_2,adults,24,lh,IOG_faces,category,face,ventral,1.900239863,Faces
CR24_181106_time_03_2,adults,24,lh,IPS_places,category,place,dorsal,1.717512572,Places
CR24_181106_time_03_2,adults,24,lh,ITG_limbs,category,bodies,lateral,1.959916486,Bodies
CR24_181106_time_03_2,adults,24,lh,LOS_limbs,category,bodies,lateral,5.418199466,Bodies
CR24_181106_time_03_2,adults,24,lh,mFus_faces,category,face,ventral,2.2887818,Faces
CR24_181106_time_03_2,adults,24,lh,MTG_limbs,category,bodies,lateral,3.76750177,Bodies
CR24_181106_time_03_2,adults,24,lh,pFus_faces,category,face,ventral,3.473572529,Faces
CR24_181106_time_03_2,adults,24,lh,pOTS_words,category,words,ventral,3.779504188,Words
CR24_181106_time_03_2,adults,24,lh,pSTS_faces,category,face,lateral,0.97095187,Faces
CS11_181215_time_03_2,kids,14,lh,CoS_places,category,place,ventral,4.122924073,Places
CS11_181215_time_03_2,kids,14,lh,IOG_faces,category,face,ventral,-0.32471021,Faces
CS11_181215_time_03_2,kids,14,lh,IPS_places,category,place,dorsal,4.305777123,Places
CS11_181215_time_03_2,kids,14,lh,LOS_limbs,category,bodies,lateral,2.735065817,Bodies
CS11_181215_time_03_2,kids,14,lh,mFus_faces,category,face,ventral,0.859153012,Faces
CS11_181215_time_03_2,kids,14,lh,MOG_places,category,place,dorsal,5.059426328,Places
CS11_181215_time_03_2,kids,14,lh,mOTS_words,category,words,ventral,1.650065491,Words
CS11_181215_time_03_2,kids,14,lh,MTG_limbs,category,bodies,lateral,1.02872408,Bodies
CS11_181215_time_03_2,kids,14,lh,pFus_faces,category,face,ventral,-0.32471021,Faces
CS11_181215_time_03_2,kids,14,lh,pOTS_words,category,words,ventral,2.803967831,Words
CS22_190217_time_03_1,adults,22,lh,IOG_faces,category,face,ventral,1.846779243,Faces
CS22_190217_time_03_1,adults,22,lh,IPS_places,category,place,dorsal,3.398488069,Places
CS22_190217_time_03_1,adults,22,lh,ITG_limbs,category,bodies,lateral,2.096254879,Bodies
CS22_190217_time_03_1,adults,22,lh,LOS_limbs,category,bodies,lateral,6.20724386,Bodies
CS22_190217_time_03_1,adults,22,lh,mFus_faces,category,face,ventral,1.299953239,Faces
CS22_190217_time_03_1,adults,22,lh,MOG_places,category,place,dorsal,3.582005984,Places
CS22_190217_time_03_1,adults,22,lh,MTG_limbs,category,bodies,lateral,4.25935572,Bodies
CS22_190217_time_03_1,adults,22,lh,OTS_bodies,category,bodies,ventral,1.669420815,Bodies
CS22_190217_time_03_1,adults,22,lh,pFus_faces,category,face,ventral,2.242533566,Faces
CS22_190217_time_03_1,adults,22,lh,pOTS_words,category,words,ventral,2.311382367,Words
CS22_190217_time_03_1,adults,22,lh,pSTS_faces,category,face,lateral,1.06784599,Faces
DAPA10_181201_time_03_2,kids,15,lh,CoS_places,category,place,ventral,2.966550798,Places
