sub,ROI,hemi,CenterXs,CenterYs,FWHMs,FWHM_radius,size
ED07/ED07_190914_21286_time_04_1,IOG_faces,lh,5.766469069,-3.779617645,2.829240853,1.414620426,7.301718
AOK07/AOK07_191207_21927_time_04_1,IOG_faces,lh,6.929895299,1.20278962,2.101749193,1.050874596,7.398248
CS11/CS11_190203_19652_time_03_1,IOG_faces,lh,3.897903137,-0.222814191,6.832255186,3.416127593,8.694222
GEJA09/GEJA09_190921_21343_time_04_1,IOG_faces,lh,0.34494379,0.492765812,0.806073576,0.403036788,2.863952
CGSA11/CGSA11_190921_21340_time_04_1,IOG_faces,lh,3.124302942,-1.847568691,5.054918751,2.527459376,10.87247
OS12/OS12_190725_20947_time_06_1,IOG_faces,lh,9.456375453,-1.092333141,16.38707956,8.193539781,12.50667
CR24,IOG_faces,lh,9.202615687,-5.51389807,8.692620971,4.346310485,11.69142
CS22,IOG_faces,lh,3.253671022,-2.21061158,4.90099647,2.450498235,3.496932
ES,IOG_faces,lh,6.259820669,0.256711168,8.117995701,4.058997851,8.372729
JEW23,IOG_faces,lh,5.277138561,-3.541426131,15.57455387,7.787276937,9.793772
JP23,IOG_faces,lh,2.345077102,0.133910551,3.919606878,1.959803439,8.112123
JW,IOG_faces,lh,1.131773978,-0.056563975,2.321348785,1.160674392,2.24501
MG,IOG_faces,lh,6.581247093,-3.548234181,4.964747511,2.482373756,8.817537
MJH25,IOG_faces,lh,11.97167304,4.900751461,7.375499296,3.687749648,11.43019
MN,IOG_faces,lh,7.288159542,-1.485321452,11.17447434,5.587237171,8.513167
MW23,IOG_faces,lh,17.04710048,2.92009678,8.084771475,4.042385738,18.55094
NAV22,IOG_faces,lh,6.826134654,5.806029703,9.449395675,4.724697838,13.90637
NC24,IOG_faces,lh,12.25314318,3.373697001,5.424064203,2.712032101,12.71122
SP,IOG_faces,lh,6.151714248,0.360507267,6.777060451,3.388530225,9.039229
ST25,IOG_faces,lh,4.983981899,1.009940895,4.752271096,2.376135548,5.93397
TH,IOG_faces,lh,0.682909996,0.908669904,4.141116834,2.070558417,2.731457
TL24,IOG_faces,lh,6.839534035,1.48074881,7.53755446,3.76877723,7.315548
ENK05/ENK05_190317_19993_time_03_1,IPS_places,lh,7.316518738,4.616982759,8.891398248,4.445699124,12.07515
CLC06/CLC06_190912_21275_time_04_1,IPS_places,lh,5.327584214,1.860803002,7.77153673,3.885768365,8.634576
ED07/ED07_190914_21286_time_04_1,IPS_places,lh,11.0490294,-0.009851641,9.75788038,4.87894019,11.23296
