sub,ROI,hemi,CenterXs,CenterYs,FWHMs,FWHM_radius,size
ENK05/ENK05_190317_19993_time_03_1,V1,rh,-6.381868235,-1.685408713,17.85098149,8.925490743,2.176202
ENK05/ENK05_190317_19993_time_03_1,V2,rh,-7.631042426,-1.927976101,11.93966548,5.969832738,3.670985
ENK05/ENK05_190317_19993_time_03_1,V3,rh,-6.152611975,-1.467495781,12.79697652,6.398488262,4.47308
ENK05/ENK05_190317_19993_time_03_1,hV4,rh,-6.169151673,0.342784625,8.057855958,4.028927979,5.335622
ENK05/ENK05_190317_19993_time_03_1,VO,rh,-6.578704617,-0.796087875,14.02725583,7.013627913,9.087329
ENK05/ENK05_190317_19993_time_03_1,PHC,rh,-12.59909045,0.966411986,8.442643207,4.221321603,17.01491
ENK05/ENK05_190317_19993_time_03_1,pFus_faces,rh,-4.022372615,-1.078430031,1.849044586,0.924522293,10.44825
ENK05/ENK05_190317_19993_time_03_1,pOTS_words,rh,-2.072203908,-1.871095405,6.485144375,3.242572187,10.06246
ENK05/ENK05_190317_19993_time_03_1,CoS_places,rh,-7.946021701,-3.44877347,12.05796483,6.028982413,13.28913
ENK05/ENK05_190317_19993_time_03_1,mFus_faces,rh,-4.553341173,-1.847955908,3.573812595,1.786906297,11.13859
ENK05/ENK05_190317_19993_time_03_1,OTS_bodies,rh,-5.435432402,-3.487701166,5.086582192,2.543291096,11.68133
CLC06/CLC06_190912_21275_time_04_1,V1,rh,-6.323519478,1.454663044,15.94293041,7.971465207,2.87901
CLC06/CLC06_190912_21275_time_04_1,V2,rh,-6.505477799,-3.370043064,12.50873738,6.254368689,4.218067
CLC06/CLC06_190912_21275_time_04_1,V3,rh,-5.2766968,-0.095060665,15.14557151,7.572785756,5.85256
CLC06/CLC06_190912_21275_time_04_1,hV4,rh,-6.908306158,3.144204272,12.19902955,6.099514776,8.672185
CLC06/CLC06_190912_21275_time_04_1,VO,rh,-9.634364574,6.508438914,12.50485607,6.252428035,12.85496
CLC06/CLC06_190912_21275_time_04_1,PHC,rh,-11.39856793,6.225978036,11.67624202,5.838121012,16.15231
CLC06/CLC06_190912_21275_time_04_1,CoS_places,rh,-10.20882003,8.002111555,12.53191225,6.265956123,15.12361
CLC06/CLC06_190912_21275_time_04_1,mFus_faces,rh,-1.490683589,-0.053408965,6.606050233,3.303025117,8.490072
CLC06/CLC06_190912_21275_time_04_1,OTS_bodies,rh,-0.713592669,-2.880732007,5.343058955,2.671529477,11.53113
ED07/ED07_190914_21286_time_04_1,V1,rh,-6.292839672,-2.317201656,16.93786812,8.468934062,3.052641
ED07/ED07_190914_21286_time_04_1,V2,rh,-6.095510248,-1.401946131,16.65580624,8.327903118,3.693481
ED07/ED07_190914_21286_time_04_1,V3,rh,-7.724746638,0.447674289,15.56367337,7.781836685,6.080138
ED07/ED07_190914_21286_time_04_1,hV4,rh,-5.746841822,1.364718861,10.13954526,5.069772632,5.697354
ED07/ED07_190914_21286_time_04_1,VO,rh,-6.493704289,-0.418504828,10.165722,5.082861002,11.16981
ED07/ED07_190914_21286_time_04_1,PHC,rh,-5.762916275,-3.68702686,11.08035663,5.540178317,13.5192
ED07/ED07_190914_21286_time_04_1,pFus_faces,rh,-2.306123064,-1.203926605,5.459397784,2.729698892,8.08585
ED07/ED07_190914_21286_time_04_1,CoS_places,rh,-4.374684172,-1.204663242,12.99203238,6.496016189,12.18626
ED07/ED07_190914_21286_time_04_1,mFus_faces,rh,0.458184194,0.27028112,3.129025926,1.564512963,6.86831
ENK05/ENK05_191208_21930_time_04_1,V1,rh,-5.881970482,-1.546788804,17.35307083,8.676535414,1.715992
ENK05/ENK05_191208_21930_time_04_1,V2,rh,-7.371256845,-0.972145891,14.00480839,7.002404193,3.805727
ENK05/ENK05_191208_21930_time_04_1,V3,rh,-5.818615257,-3.206549025,13.81558459,6.907792294,4.587101
ENK05/ENK05_191208_21930_time_04_1,hV4,rh,-6.398505898,0.899275944,11.4572949,5.728647452,6.473538
ENK05/ENK05_191208_21930_time_04_1,VO,rh,-7.111361694,1.357904774,13.8337047,6.916852352,8.084112
ENK05/ENK05_191208_21930_time_04_1,PHC,rh,-14.47732382,-6.439942467,8.894638939,4.44731947,17.42255
ENK05/ENK05_191208_21930_time_04_1,pFus_faces,rh,-2.102682221,-4.402521889,5.158906282,2.579453141,9.841328
ENK05/ENK05_191208_21930_time_04_1,CoS_places,rh,-5.64158672,-6.876470812,12.47756587,6.238782937,9.892716
ENK05/ENK05_191208_21930_time_04_1,mFus_faces,rh,-2.196822634,-3.744708696,5.220080406,2.610040203,12.79681
ENK05/ENK05_191208_21930_time_04_1,OTS_bodies,rh,-1.451674292,-5.470987039,4.438397299,2.21919865,8.833398
INW06/INW06_191103_21656_time_04_1,V1,rh,-6.396736912,-0.423965472,16.4018755,8.200937751,2.860918
INW06/INW06_191103_21656_time_04_1,V2,rh,-6.025071092,0.948157262,14.51354931,7.256774656,3.048678
INW06/INW06_191103_21656_time_04_1,V3,rh,-6.845774413,-1.46328729,14.04497211,7.022486055,5.205494
INW06/INW06_191103_21656_time_04_1,hV4,rh,-4.499765561,-2.939410855,6.73690195,3.368450975,5.1139
INW06/INW06_191103_21656_time_04_1,VO,rh,-11.36158884,-0.430954139,10.90084019,5.450420094,11.40766
INW06/INW06_191103_21656_time_04_1,PHC,rh,-11.14043361,0.421028683,15.37089117,7.685445586,16.6862
RJ09/RJ09_190914_21289_time_04_1,V1,rh,-6.384597757,1.12942477,14.72767858,7.36383929,3.004078
RJ09/RJ09_190914_21289_time_04_1,V2,rh,-6.832873433,-0.333067203,14.88214102,7.44107051,3.978215
RJ09/RJ09_190914_21289_time_04_1,V3,rh,-7.564461702,-0.146557869,13.25416742,6.62708371,6.052462
RJ09/RJ09_190914_21289_time_04_1,hV4,rh,-7.17948244,0.62581284,9.361343054,4.680671527,8.2746
RJ09/RJ09_190914_21289_time_04_1,VO,rh,-9.888232227,0.139350087,12.07297046,6.036485228,11.71899
RJ09/RJ09_190914_21289_time_04_1,PHC,rh,-8.685497543,-0.22218807,9.150315385,4.575157693,10.6056
RJ09/RJ09_190914_21289_time_04_1,pFus_faces,rh,-6.724066582,-0.902530949,8.368791276,4.184395638,13.71857
RJ09/RJ09_190914_21289_time_04_1,CoS_places,rh,-10.70317001,0.176490956,10.39919384,5.199596921,13.58309
RJ09/RJ09_190914_21289_time_04_1,mFus_faces,rh,-2.495248701,0.179919632,3.881422982,1.940711491,3.408915
RJ09/RJ09_190914_21289_time_04_1,OTS_bodies,rh,-7.210390195,-1.058224193,8.087350919,4.043675459,13.3331
AOK07/AOK07_191207_21927_time_04_1,V1,rh,-6.17945827,0.828967063,16.77085502,8.385427512,2.281854
AOK07/AOK07_191207_21927_time_04_1,V2,rh,-6.38614026,0.033944369,15.60954911,7.804774553,2.852701
AOK07/AOK07_191207_21927_time_04_1,V3,rh,-6.065518893,0.825327178,15.45691058,7.72845529,3.87279
AOK07/AOK07_191207_21927_time_04_1,hV4,rh,-3.663214344,0.439353366,7.79464991,3.897324955,4.426894
AOK07/AOK07_191207_21927_time_04_1,VO,rh,-9.059681154,1.51090356,11.71772051,5.858860256,11.8594
AOK07/AOK07_191207_21927_time_04_1,PHC,rh,-9.060700416,3.526884399,12.16668561,6.083342807,16.32292
AOK07/AOK07_191207_21927_time_04_1,CoS_places,rh,-6.963777087,1.474260398,12.74822283,6.374111416,14.07344
AOK07/AOK07_191207_21927_time_04_1,mFus_faces,rh,-1.473449844,3.238353577,15.37496399,7.687481994,13.89034
AOK07/AOK07_191207_21927_time_04_1,OTS_bodies,rh,-4.796373747,3.470898269,6.439689763,3.219844882,13.52124
CS11/CS11_190203_19652_time_03_1,V1,rh,-5.296394501,-1.932475245,16.22971999,8.114859997,3.467986
CS11/CS11_190203_19652_time_03_1,V2,rh,-5.473298038,-1.626944327,15.72561079,7.862805395,3.697528
CS11/CS11_190203_19652_time_03_1,V3,rh,-7.010449112,0.850737811,15.22814656,7.61407328,6.68665
CS11/CS11_190203_19652_time_03_1,hV4,rh,-7.846588256,-0.605053032,11.17332857,5.586664283,8.349318
CS11/CS11_190203_19652_time_03_1,VO,rh,-8.000736208,2.147532095,12.97198685,6.485993423,14.69335
CS11/CS11_190203_19652_time_03_1,PHC,rh,-9.751419181,1.024484839,9.883691111,4.941845555,19.17782
CS11/CS11_190203_19652_time_03_1,pFus_faces,rh,-3.283239115,-2.693646226,5.272670665,2.636335332,13.25937
CS11/CS11_190203_19652_time_03_1,pOTS_words,rh,-2.086189104,-4.909994246,15.00235731,7.501178656,20.04108
CS11/CS11_190203_19652_time_03_1,CoS_places,rh,-5.460091057,-0.571193643,9.910268171,4.955134086,20.06426
CS11/CS11_190203_19652_time_03_1,mOTS_words,rh,4.195834591,2.757170533,3.572586299,1.78629315,19.71517
GEJA09/GEJA09_190921_21343_time_04_1,V1,rh,-6.176057227,1.025421031,12.71111901,6.355559504,3.111041
GEJA09/GEJA09_190921_21343_time_04_1,V2,rh,-6.434208173,-0.796614581,11.72352658,5.861763292,4.204788
GEJA09/GEJA09_190921_21343_time_04_1,V3,rh,-6.171474118,-0.724097614,11.37728099,5.688640494,4.876619
GEJA09/GEJA09_190921_21343_time_04_1,hV4,rh,-9.361623235,-2.935904442,8.943354985,4.471677492,8.608941
GEJA09/GEJA09_190921_21343_time_04_1,VO,rh,-10.7259983,3.38043283,9.802800801,4.9014004,13.34645
GEJA09/GEJA09_190921_21343_time_04_1,PHC,rh,-17.15482603,0.524428117,9.074871866,4.537435933,22.37205
GEJA09/GEJA09_190921_21343_time_04_1,pFus_faces,rh,-1.319500214,-0.470640668,9.29554541,4.647772705,8.842228
GEJA09/GEJA09_190921_21343_time_04_1,CoS_places,rh,-14.4050242,-1.558610905,9.400076126,4.700038063,21.44745
GEJA09/GEJA09_190921_21343_time_04_1,OTS_bodies,rh,-7.607700161,-7.045935455,14.25409735,7.127048674,19.07925
MDT09/MDT09_191006_21450_time_03_1,V1,rh,-5.723222405,-2.480093424,17.1913878,8.595693902,3.157752
MDT09/MDT09_191006_21450_time_03_1,V2,rh,-5.819250861,-1.662428428,16.56548341,8.282741707,3.737437
MDT09/MDT09_191006_21450_time_03_1,V3,rh,-5.524811039,-1.676930446,16.19856402,8.099282009,5.04212
MDT09/MDT09_191006_21450_time_03_1,hV4,rh,-5.719858042,-0.072285907,12.73799772,6.36899886,6.931694
MDT09/MDT09_191006_21450_time_03_1,VO,rh,-10.91308209,2.919701124,14.99870379,7.499351894,14.74054
MDT09/MDT09_191006_21450_time_03_1,PHC,rh,-10.47181927,2.486674089,9.642505934,4.821252967,14.76289
MDT09/MDT09_191006_21450_time_03_1,pFus_faces,rh,-2.72777507,-0.482184482,3.112423308,1.556211654,9.923696
MDT09/MDT09_191006_21450_time_03_1,pOTS_words,rh,-4.592473412,-0.084244236,3.704982902,1.852491451,7.893572
MDT09/MDT09_191006_21450_time_03_1,CoS_places,rh,-9.324175293,1.652629785,10.48051563,5.240257817,15.38299
MDT09/MDT09_191006_21450_time_03_1,mFus_faces,rh,-0.951964762,0.109302163,3.9287106,1.9643553,7.315218
MDT09/MDT09_191006_21450_time_03_1,mOTS_words,rh,-3.149929257,-0.714741096,4.605249289,2.302624645,10.3067
DAPA10/DAPA10_190112_19476_time_03_1,V1,rh,-4.825730979,0.329754046,15.70987578,7.854937889,4.282741
DAPA10/DAPA10_190112_19476_time_03_1,V2,rh,-5.686220897,-0.60703759,14.90523182,7.452615912,4.450641
DAPA10/DAPA10_190112_19476_time_03_1,V3,rh,-6.091854977,-2.199311413,13.83128686,6.915643428,5.728322
DAPA10/DAPA10_190112_19476_time_03_1,hV4,rh,-6.720704531,1.272549046,12.0980526,6.0490263,7.300505
DAPA10/DAPA10_190112_19476_time_03_1,VO,rh,-8.069488728,-0.346980311,11.14078705,5.570393523,9.742717
DAPA10/DAPA10_190112_19476_time_03_1,PHC,rh,-5.996972667,0.469879106,11.81122805,5.905614023,9.368876
DAPA10/DAPA10_190112_19476_time_03_1,pFus_faces,rh,-2.379746869,-1.632678439,3.62275936,1.81137968,8.549751
DAPA10/DAPA10_190112_19476_time_03_1,pOTS_words,rh,-2.531766871,-5.010147213,9.544104858,4.772052429,11.79085
DAPA10/DAPA10_190112_19476_time_03_1,CoS_places,rh,-4.834652008,-0.024660218,5.862441715,2.931220858,9.322071
DAPA10/DAPA10_190112_19476_time_03_1,mFus_faces,rh,-1.766686924,-1.140449568,3.721462414,1.860731207,9.185745
