subject,hemi,ROI,fwhm,fwhm_upper,fwhm_lower,fwhm_central5,fwhm_central10,fwhm_contra,fwhm_ipsi,fwhm_upperContra,fwhm_lowerContra,fwhm_upperIpsi,fwhm_lowerIpsi,CoM_x,CoM_y,centerX,centerY,includedvox,totalvox,proportion20
ENK05/ENK05_190317_19993_time_03_1,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLC06/CLC06_190912_21275_time_04_1,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ED07/ED07_190914_21286_time_04_1,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENK05/ENK05_191208_21930_time_04_1,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INW06/INW06_191103_21656_time_04_1,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ09/RJ09_190914_21289_time_04_1,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AOK07/AOK07_191207_21927_time_04_1,rh,pSTS_faces,34.4406693,67.56066411,32.43933589,33.54618987,93.2737335,58.49297573,0,39.16560238,19.32737335,28.39506173,13.11196254,-7.853173733,3.163722754,-1.140264738,2.403553031,129,170,0.758823529
CS11/CS11_190203_19652_time_03_1,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDT09/MDT09_191006_21450_time_03_1,rh,pSTS_faces,32.14402287,25.69614069,74.30385931,38.10454323,93.20957499,43.57596483,0,10.89399121,32.68197362,14.80214949,41.62188569,-4.232168198,-3.287946701,0.818173262,-3.147805352,122,154,0.792207792
DAPA10/DAPA10_190112_19476_time_03_1,rh,pSTS_faces,25.70407923,50.26985351,49.73014649,56.7463377,100,71.47262914,0,35.85196608,35.62066307,14.41788743,14.10948342,-2.818214417,-2.844769478,-2.210637524,0.029004454,139,203,0.684729064
STM10/STM10_190903_21220_time_03_1,rh,pSTS_faces,29.49694309,72.92753623,27.07246377,26.72463768,74.84057971,92.52173913,0,66.43478261,26.08695652,6.492753623,0.985507246,-9.417787552,4.179216385,-5.487832769,2.711657149,250,299,0.836120401
CGSA11/CGSA11_190921_21340_time_04_1,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OS12/OS12_190725_20947_time_06_1,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR24,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS22,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,rh,pSTS_faces,23.51740638,76.11262489,23.88737511,4.904632153,49.68210718,100,0,76.11262489,23.88737511,0,0,-8.882908821,1.302959442,-9.100850076,2.510522772,124,187,0.663101604
ES,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB23,rh,pSTS_faces,21.41210457,88.44884488,11.55115512,6.270627063,58.41584158,100,0,88.44884488,11.55115512,0,0,-9.601067543,5.082560539,-8.064607604,3.527549273,66,337,0.195845697
JEW23,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JP23,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JW,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KM25,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MJH25,rh,pSTS_faces,22.24448241,61.43589744,38.56410256,77.53846154,100,50.66666667,0,31.28205128,19.38461538,30.15384615,19.17948718,-0.222547814,0.532060981,-0.048925386,0.993384389,45,173,0.271676301
MN,rh,pSTS_faces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
