sub,age
AW05_190928_time_05_1,8
SD06_181117_time_03_2,9
ENK05_181201_time_03_1,10
CLC06_190912_time_04_1,11
ED07_190824_time_04_2,11
ENK05_190203_time_03_2,11
INW06_191006_time_04_1,12
RJ09_190810_time_04_1,12
AOK07_190203_time_03_2,13
CS11_181215_time_03_2,14
GEJA09_190921_time_04_1,14
MDT09_191027_time_03_2,14
DAPA10_181201_time_03_2,15
STM10_190903_time_03_2,15
DAPA10_190921_time_04_1,16
CGSA11_190910_time_04_1,17
OS12_190724_time_06_1,17
CR24_181106_time_03_2,24
CS22_190217_time_03_1,22
em_050317,22
es103118,28
GB23_190117_time_03_1,23
JEW23_181211_time_03_1,23
JP23_170111_time_02_1,23
jw103018,28
KM25_181204_time_03_1,25
mg_041817,29
mh102018,25
MN181023,25
MW23_190306_time_03_1,23
MZ190410,23
NAV22_181218_time_03_1,22
NC24_190217_time_03_1,24
SP171101,30
ST25,25
TH181012,32
TL24_190428_time_03_1,24
JG24_170109_time_04_1,27
MSH28_181008_time_03_1,31
KG22_190128_time_03_1,26
VN26,30
DRS22,22
MBA24_190130_time_03_1,28
df032518,25
