hemi,ROI,t_statistic,p_value,df,mean_younger,mean_older
lh,IOG_faces,-0.6569005957221652,0.5580956421450767,3.0031472099656873,7.349983,8.7343285
rh,IOG_faces,1.0700117057136451,0.31994305070450907,7.035642187089065,9.329047599999999,7.988267666666666
lh,pFus_faces,-0.41790426234794775,0.6883074534557544,7.134964338654109,9.225819142857143,9.673748250000001
rh,pFus_faces,0.16962357667867806,0.8717834886914904,5.137839175457839,10.5234995,10.292334
lh,mFus_faces,0.7187707703022151,0.5022328636418654,5.39000671527316,10.321113333333333,9.053066125
rh,mFus_faces,-0.05918465563030693,0.9541521612935776,8.633948924815886,9.432172833333334,9.5462165
lh,OTS_bodies,-0.6808836446072873,0.5135215931897994,8.76854547499871,11.9164125,15.511114000000001
rh,OTS_bodies,-0.9447943394538011,0.3877815195808311,5.044756972137212,11.7800396,23.702102166666666
lh,CoS_places,0.5623058111093394,0.5843443932147667,11.900309301083574,13.717505,13.053157875
rh,CoS_places,-0.7176608624831222,0.49026900791567696,9.48185554183827,13.024707666666666,14.340569
lh,LOS_limbs,-1.0636198661781098,0.316850076462321,8.479588385325682,14.296985666666666,23.550621875
rh,LOS_limbs,-0.9379226990987563,0.3725106642574407,9.099202673603948,13.595182857142857,16.51400575
lh,ITG_limbs,-0.2540507162160347,0.8061726999171539,7.624553144815886,16.8230714,18.0728555
rh,ITG_limbs,-0.9617746393611999,0.35736853034361427,10.713118265540173,14.3270936,17.82570875
lh,MTG_limbs,-0.22902869117286281,0.824407188729627,8.273165841247474,31.810618,34.393425
rh,MTG_limbs,0.25738914145734293,0.8023642256425882,9.505272154825729,52.95385714285714,46.82463571428571
lh,MOG_places,-0.6385891087406677,0.5352603514390624,11.827680942466728,7.048590142857143,7.6449525
rh,MOG_places,0.7040238990988473,0.4950832577886064,11.794655204724057,8.623702142857143,7.61049925
lh,IPS_places,0.2196520627064567,0.8295582186361891,12.981985570368817,10.636910571428572,10.407685749999999
rh,IPS_places,-0.44074617366013275,0.6686098858368031,10.179265998497138,12.302137714285713,13.453525625000001
