hemi,ROI,t_statistic,p_value,df,mean_adolescents,mean_Adults
lh,pOTS_words,-0.303062886971792,0.7644964120456952,23.60826988919641,19.106249322785715,19.765937675384617
rh,pOTS_words,0.09874477754361023,0.9232802830569821,10.062769670631187,19.411126811666666,19.201264472000002
lh,OTS_bodies,0.29586935618719845,0.770043680397565,22.496843774266537,22.686026684545453,21.928691945
rh,OTS_bodies,0.4075853827667558,0.6871890047802427,24.013362463156795,21.89952006090909,20.868570627894737
lh,IOG_faces,-1.0631379553012663,0.3197830497607055,7.734260677732458,14.901502113833333,18.7972271509375
rh,IOG_faces,-3.088887696622428,0.0046081799544241,27.062810507147372,14.898950724545454,21.41449931755
lh,pFus_faces,0.4539538338021388,0.6536540996199001,25.82573134881722,20.772639553133335,19.800536712727272
rh,pFus_faces,-1.296244959485389,0.20712618828116547,24.181854352223976,21.760609211666665,24.516993099166665
lh,mFus_faces,-0.5444144541205427,0.5904005494124608,28.434704698016535,21.75246097,22.87256962255
rh,mFus_faces,-0.8713858201297613,0.39355614083050094,20.662012504265707,19.607057431833333,21.903551637142858
lh,CoS_places,0.07364153869090793,0.9418868619009622,24.779566337036222,23.903379187142857,23.810163137083332
rh,CoS_places,0.47440035225565585,0.6380706715823423,36.1120694144088,27.148316672142858,26.44963198128
lh,LOS_limbs,-0.1217059204314651,0.9039877524084192,28.44196596825508,24.274706117142856,24.5077938436
rh,LOS_limbs,-1.6776892961044967,0.10452356387902702,28.03536298086423,25.365774259333335,27.693604682083333
lh,ITG_limbs,0.6364618570330993,0.5324105515424642,18.173706498490176,25.11536724909091,23.42995477904762
rh,ITG_limbs,-0.007165239196911754,0.9943451186868243,22.882227312166826,23.367617585384615,23.38177969304348
lh,MTG_limbs,-1.0045863781209008,0.3279193581125025,18.699593034893653,25.57381235092857,28.2244787844
rh,MTG_limbs,0.45776240723538525,0.6509870640397228,25.585160116353048,28.56066530214286,27.48974398888889
lh,pSTS_faces,0.05030606821499737,0.9604784445794301,16.611180272769985,23.1676571056,23.02728678909091
rh,pSTS_faces,5.200057282668735,0.001975347492996545,6.039097461129684,30.4464286225,18.58550851888889
lh,MOG_places,-0.8384488394908153,0.4082740277030056,30.63167883067954,20.598047668666666,21.83543297
rh,MOG_places,1.0680718189196214,0.29569018013529025,25.008412087115317,23.8873748162,22.0331417764
lh,IPS_places,-0.709761272249269,0.482603957054612,34.63241511212955,22.135241176666668,23.0997158228
rh,IPS_places,2.0560795209440426,0.04669212439499747,37.99394050894938,26.422419447333333,23.22388219256
